,new_york,new_york,london,london,asia,asia,turkey,turkey
,first,second,first,second,first,second,first,second
12,-0.066,0.096,0.014,0.133,0.085,-0.036,-0.01,0.069
24,-0.14,-0.022,0.218,0.04,0.047,-0.121,0.084,-0.116
36,-0.288,-0.189,0.373,-0.141,0.054,-0.24,0.25,-0.224
60,-0.205,-0.338,0.377,-0.197,0.055,-0.031,-0.051,-0.255
84,-0.19,-0.436,0.27,-0.235,-0.087,0.112,-0.276,-0.343
120,0.04,-0.388,-0.123,-0.351,-0.221,-0.179,-0.869,-0.304
240,0.439,-0.141,,-0.469,,-0.399,,-0.662
360,,0.011,,-0.444,,-0.601,,
